BE_eV                KE_eV                counts               fix                  counts_smoothed      intensity            error                background          
1486.540000          0.060000             0.000000             2.338230             0.000000             0.000000             0.000000             0.000000            
1486.530000          0.070000             1.693985             1.693985             1.693985             2.141793             1.301532             0.000000            
1486.520000          0.080000             0.000000             1.564414             0.000000             0.000000             0.000000             0.000000            
1486.510000          0.090000             0.000000             1.557332             0.000000             0.000000             0.000000             0.000000            
1486.500000          0.100000             3.124378             1.562189             3.124378             3.950312             1.767591             0.000000            
1486.490000          0.110000             1.570697             1.570697             1.570697             1.985913             1.253274             0.000000            
1486.480000          0.120000             0.000000             1.567334             0.000000             0.000000             0.000000             0.000000            
1486.470000          0.130000             0.000000             1.580434             0.000000             0.000000             0.000000             0.000000            
1486.460000          0.140000             3.167707             1.583853             3.167707             4.005095             1.779805             0.000000            
1486.450000          0.150000             0.000000             1.586405             0.000000             0.000000             0.000000             0.000000            
1486.440000          0.160000             0.000000             1.244508             0.000000             0.000000             0.000000             0.000000            
1486.430000          0.170000             0.000000             1.069969             0.000000             0.000000             0.000000             0.000000            
1486.420000          0.180000             0.000000             1.029462             0.000000             0.000000             0.000000             0.000000            
1486.410000          0.190000             2.054941             1.027471             2.054941             2.598168             1.433507             0.000000            
1486.400000          0.200000             2.070870             1.035435             2.070870             2.618308             1.439052             0.000000            
1486.390000          0.210000             0.000000             1.041478             0.000000             0.000000             0.000000             0.000000            
1486.380000          0.220000             0.000000             1.044478             0.000000             0.000000             0.000000             0.000000            
1486.370000          0.230000             0.000000             1.053438             0.000000             0.000000             0.000000             0.000000            
1486.360000          0.240000             0.000000             1.060826             0.000000             0.000000             0.000000             0.000000            
1486.350000          0.250000             0.000000             1.063443             0.000000             0.000000             0.000000             0.000000            
1486.340000          0.260000             1.748152             0.874076             1.748152             2.210278             1.322177             0.000000            
1486.330000          0.270000             0.772076             0.772076             0.772076             0.976175             0.878678             0.000000            
1486.320000          0.280000             0.747369             0.747369             0.747369             0.944938             0.864505             0.000000            
1486.310000          0.290000             0.000000             0.747604             0.000000             0.000000             0.000000             0.000000            
1486.300000          0.300000             0.000000             0.754629             0.000000             0.000000             0.000000             0.000000            
1486.290000          0.310000             0.000000             0.759992             0.000000             0.000000             0.000000             0.000000            
1486.280000          0.320000             0.000000             0.764018             0.000000             0.000000             0.000000             0.000000            
1486.270000          0.330000             0.770762             0.770762             0.770762             0.974515             0.877931             0.000000            
1486.260000          0.340000             0.777754             0.777754             0.777754             0.983354             0.881904             0.000000            
1486.250000          0.350000             0.780817             0.780817             0.780817             0.987227             0.883638             0.000000            
1486.240000          0.360000             0.000000             0.661752             0.000000             0.000000             0.000000             0.000000            
1486.230000          0.370000             0.000000             0.593831             0.000000             0.000000             0.000000             0.000000            
1486.220000          0.380000             0.000000             0.577806             0.000000             0.000000             0.000000             0.000000            
1486.210000          0.390000             0.578831             0.578831             0.578831             0.731845             0.760809             0.000000            
1486.200000          0.400000             0.000000             0.583927             0.000000             0.000000             0.000000             0.000000            
1486.190000          0.410000             0.000000             0.589262             0.000000             0.000000             0.000000             0.000000            
1486.180000          0.420000             0.000000             0.592171             0.000000             0.000000             0.000000             0.000000            
1486.170000          0.430000             1.196634             0.598317             1.196634             1.512965             1.093907             0.000000            
1486.160000          0.440000             0.000000             0.603250             0.000000             0.000000             0.000000             0.000000            
1486.150000          0.450000             0.000000             0.607224             0.000000             0.000000             0.000000             0.000000            
1486.140000          0.460000             1.050986             0.525493             1.050986             1.328815             1.025176             0.000000            
