BE_eV                KE_eV                counts               fix                  counts_smoothed      intensity            error                background          
21.074000            0.146000             191.579476           95.789738            191.579476           2.503953             13.841224            0.000000            
21.072000            0.148000             348.916221           87.229055            348.916221           4.560352             18.679299            0.000000            
21.070000            0.150000             83.595933            83.595933            83.595933            1.092603             9.143081             0.000000            
21.068000            0.152000             336.158522           84.039630            336.158522           4.393608             18.334626            0.000000            
21.066000            0.154000             337.152681           84.288170            337.152681           4.406602             18.361718            0.000000            
21.064000            0.156000             253.364046           84.454682            253.364046           3.311480             15.917413            0.000000            
21.062000            0.158000             254.268200           84.756067            254.268200           3.323297             15.945789            0.000000            
21.060000            0.160000             424.622169           84.924434            424.622169           5.549832             20.606362            0.000000            
21.058000            0.162000             256.608403           85.536134            256.608403           3.353884             16.019001            0.000000            
21.056000            0.164000             170.730671           85.365335            170.730671           2.231458             13.066395            0.000000            
21.054000            0.166000             171.966854           85.983427            171.966854           2.247615             13.113613            0.000000            
21.052000            0.168000             0.000000             86.104653            0.000000             0.000000             0.000000             0.000000            
21.050000            0.170000             345.183367           86.295842            345.183367           4.511563             18.579111            0.000000            
21.048000            0.172000             346.793429           86.698357            346.793429           4.532607             18.622391            0.000000            
21.046000            0.174000             87.335975            87.335975            87.335975            1.141485             9.345372             0.000000            
21.044000            0.176000             174.743348           87.371674            174.743348           2.283904             13.219052            0.000000            
21.042000            0.178000             524.122926           87.353821            524.122926           6.850311             22.893731            0.000000            
21.040000            0.180000             88.438064            88.438064            88.438064            1.155890             9.404151             0.000000            
21.038000            0.182000             264.985289           88.328430            264.985289           3.463370             16.278369            0.000000            
21.036000            0.184000             0.000000             88.511304            0.000000             0.000000             0.000000             0.000000            
21.034000            0.186000             178.724749           89.362375            178.724749           2.335941             13.368798            0.000000            
21.032000            0.188000             269.156097           89.718699            269.156097           3.517883             16.405977            0.000000            
21.030000            0.190000             269.156097           89.718699            269.156097           3.517883             16.405977            0.000000            
21.028000            0.192000             89.907382            89.907382            89.907382            1.175094             9.481950             0.000000            
21.026000            0.194000             299.565272           74.891318            299.565272           3.915332             17.307954            0.000000            
21.024000            0.196000             137.524802           68.762401            137.524802           1.797456             11.727097            0.000000            
21.022000            0.198000             191.023056           63.674352            191.023056           2.496680             13.821109            0.000000            
21.020000            0.200000             122.593944           61.296972            122.593944           1.602309             11.072215            0.000000            
21.018000            0.202000             246.247106           61.561776            246.247106           3.218461             15.692263            0.000000            
