KE_eV	hits_counts
0.000000	420.000000
0.200000	463.000000
0.400000	521.000000
0.600000	637.000000
0.800000	722.000000
1.000000	880.000000
1.200000	1148.000000
1.400000	1487.000000
1.600000	1743.000000
1.800000	2224.000000
2.000000	2589.000000
2.200000	2767.000000
2.400000	3065.000000
2.600000	3222.000000
2.800000	3498.000000
3.000000	9213.000000
3.200000	16598.000000
3.400000	30080.000000
3.600000	52498.000000
3.800000	44266.000000
4.000000	18631.000000
4.200000	11488.000000
4.400000	10279.000000
4.600000	8831.000000
4.800000	8342.000000
5.000000	8057.000000
5.200000	7465.000000
5.400000	7397.000000
5.600000	6916.000000
5.800000	6070.000000
6.000000	5693.000000
6.200000	5299.000000
6.400000	4501.000000
6.600000	4121.000000
6.800000	3768.000000
7.000000	3174.000000
7.200000	2805.000000
7.400000	2430.000000
7.600000	2289.000000
7.800000	2234.000000
8.000000	2029.000000
8.200000	1841.000000
8.400000	1767.000000
8.600000	1663.000000
8.800000	1543.000000
9.000000	1543.000000
9.200000	1413.000000
9.400000	1250.000000
9.600000	1235.000000
9.800000	1224.000000
10.000000	1096.000000
10.200000	1010.000000
10.400000	952.000000
10.600000	885.000000
10.800000	846.000000
11.000000	765.000000
11.200000	682.000000
11.400000	655.000000
11.600000	579.000000
11.800000	473.000000
12.000000	439.000000
12.200000	330.000000
12.400000	335.000000
12.600000	300.000000
12.800000	285.000000
13.000000	265.000000
13.200000	214.000000
13.400000	183.000000
13.600000	191.000000
13.800000	163.000000
14.000000	134.000000
14.200000	105.000000
14.400000	92.000000
14.600000	72.000000
14.800000	62.000000
15.000000	61.000000
15.200000	49.000000
15.400000	37.000000
15.600000	28.000000
15.800000	31.000000
16.000000	32.000000
16.200000	21.000000
16.400000	31.000000
16.600000	19.000000
16.800000	21.000000
17.000000	19.000000
17.200000	16.000000
17.400000	18.000000
17.600000	13.000000
17.800000	18.000000
18.000000	26.000000
18.200000	17.000000
18.400000	19.000000
18.600000	15.000000
18.800000	12.000000
19.000000	13.000000
19.200000	11.000000
19.400000	18.000000
19.600000	24.000000
19.800000	14.000000
20.000000	19.000000
20.200000	16.000000
20.400000	12.000000
20.600000	17.000000
20.800000	22.000000
21.000000	11.000000
21.200000	16.000000
21.400000	15.000000
21.600000	18.000000
21.800000	18.000000
22.000000	12.000000
22.200000	8.000000
22.400000	15.000000
22.600000	14.000000
22.800000	23.000000
23.000000	20.000000
23.200000	15.000000
23.400000	14.000000
23.600000	17.000000
23.800000	18.000000
24.000000	10.000000
