BE_eV                KE_eV                counts               fix                  counts_smoothed      intensity            error                background          
15.320000            5.900000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.318000            5.902000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.316000            5.904000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.314000            5.906000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.312000            5.908000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.310000            5.910000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.308000            5.912000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.306000            5.914000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.304000            5.916000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.302000            5.918000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.300000            5.920000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.298000            5.922000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.296000            5.924000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.294000            5.926000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.292000            5.928000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.290000            5.930000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.288000            5.932000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.286000            5.934000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.284000            5.936000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.282000            5.938000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.280000            5.940000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.278000            5.942000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.276000            5.944000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.274000            5.946000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.272000            5.948000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.270000            5.950000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.268000            5.952000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.266000            5.954000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.264000            5.956000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.262000            5.958000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.260000            5.960000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.258000            5.962000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.256000            5.964000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.254000            5.966000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.252000            5.968000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.250000            5.970000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
15.248000            5.972000             0.000000             150.962343           0.000000             0.000000             0.000000             0.000000            
15.246000            5.974000             985.462653           20.111483            985.462653           0.000000             31.392079            0.000000            
15.244000            5.976000             1180.628272          15.741710            1180.628272          0.000000             34.360272            0.000000            
15.242000            5.978000             998.754325           15.605536            998.754325           0.000000             31.603075            0.000000            
15.240000            5.980000             993.169892           15.518280            993.169892           0.000000             31.514598            0.000000            
15.238000            5.982000             1107.993080          15.605536            1107.993080          0.000000             33.286530            0.000000            
15.236000            5.984000             971.799914           15.425395            971.799914           0.000000             31.173705            0.000000            
15.234000            5.986000             1116.835770          15.511608            1116.835770          0.000000             33.419093            0.000000            
15.232000            5.988000             1203.695466          15.431993            1203.695466          0.000000             34.694315            0.000000            
15.230000            5.990000             1017.641026          15.418803            1017.641026          0.000000             31.900486            0.000000            
15.228000            5.992000             1037.493562          15.484979            1037.493562          0.000000             32.210147            0.000000            
15.226000            5.994000             1032.618539          15.412217            1032.618539          0.000000             32.134383            0.000000            
15.224000            5.996000             1151.323846          15.558430            1151.323846          0.000000             33.931163            0.000000            
15.222000            5.998000             1036.603774          15.471698            1036.603774          0.000000             32.196332            0.000000            
15.220000            6.000000             857.562662           15.592048            857.562662           0.000000             29.284171            0.000000            
15.218000            6.002000             1126.522116          15.646141            1126.522116          0.000000             33.563702            0.000000            
15.216000            6.004000             813.599306           15.646141            813.599306           0.000000             28.523662            0.000000            
15.214000            6.006000             901.209465           15.810692            901.209465           0.000000             30.020151            0.000000            
15.212000            6.008000             1047.637484          15.873295            1047.637484          0.000000             32.367229            0.000000            
15.210000            6.010000             731.781305           15.908289            731.781305           0.000000             27.051457            0.000000            
15.208000            6.012000             897.193606           16.021314            897.193606           0.000000             29.953190            0.000000            
15.206000            6.014000             908.080899           16.215730            908.080899           0.000000             30.134381            0.000000            
15.204000            6.016000             767.659574           16.333182            767.659574           0.000000             27.706670            0.000000            
15.202000            6.018000             754.057247           16.392549            754.057247           0.000000             27.460103            0.000000            
15.200000            6.020000             678.568807           16.550459            678.568807           0.000000             26.049353            0.000000            
15.198000            6.022000             901.165587           16.688252            901.165587           0.000000             30.019420            0.000000            
15.196000            6.024000             977.412424           16.851938            977.412424           0.000000             31.263596            0.000000            
15.194000            6.026000             969.618105           17.010844            969.618105           0.000000             31.138691            0.000000            
15.192000            6.028000             791.454459           17.205532            791.454459           0.000000             28.132800            0.000000            
15.190000            6.030000             760.670819           17.287973            760.670819           0.000000             27.580261            0.000000            
15.188000            6.032000             873.607748           17.472155            873.607748           0.000000             29.556856            0.000000            
15.186000            6.034000             834.938454           17.764648            834.938454           0.000000             28.895302            0.000000            
15.184000            6.036000             753.910448           17.950249            753.910448           0.000000             27.457430            0.000000            
15.182000            6.038000             1098.243513          18.003992            1098.243513          0.000000             33.139757            0.000000            
