KE_eV	hits_counts
17.000000	11233.000000
17.100000	9914.000000
17.200000	8863.000000
17.300000	8521.000000
17.400000	7034.000000
17.500000	6628.000000
17.600000	5894.000000
17.700000	5299.000000
17.800000	4715.000000
17.900000	4479.000000
18.000000	4147.000000
18.100000	3856.000000
18.200000	3447.000000
18.300000	3378.000000
18.400000	3305.000000
18.500000	2963.000000
18.600000	2795.000000
18.700000	2696.000000
18.800000	2490.000000
18.900000	2291.000000
19.000000	2166.000000
19.100000	2116.000000
19.200000	2030.000000
19.300000	1953.000000
19.400000	1772.000000
19.500000	1713.000000
19.600000	1614.000000
19.700000	1602.000000
19.800000	1440.000000
19.900000	1432.000000
20.000000	1344.000000
20.100000	1368.000000
20.200000	1280.000000
20.300000	1142.000000
20.400000	1194.000000
20.500000	1121.000000
20.600000	1073.000000
20.700000	1071.000000
20.800000	1011.000000
20.900000	960.000000
21.000000	918.000000
21.100000	920.000000
21.200000	837.000000
21.300000	888.000000
21.400000	802.000000
21.500000	827.000000
21.600000	807.000000
21.700000	816.000000
21.800000	781.000000
21.900000	741.000000
22.000000	742.000000
22.100000	700.000000
22.200000	740.000000
22.300000	677.000000
22.400000	702.000000
22.500000	664.000000
22.600000	633.000000
22.700000	578.000000
22.800000	597.000000
22.900000	600.000000
23.000000	594.000000
23.100000	526.000000
23.200000	540.000000
23.300000	521.000000
23.400000	555.000000
23.500000	462.000000
23.600000	473.000000
23.700000	480.000000
23.800000	462.000000
23.900000	469.000000
24.000000	426.000000
