BE_eV                KE_eV                counts               fix                  counts_smoothed      intensity            error                background          
14.085000            7.135000             1865401.300154       434.218180           1865401.300154       5205.817914          1365.796947          0.000000            
14.080000            7.140000             1853837.896230       401.872512           1853837.896230       5173.547659          1361.557159          0.000000            
14.075000            7.145000             1828475.985166       402.127993           1828475.985166       5102.769596          1352.211516          0.000000            
14.070000            7.150000             1853802.085809       404.054509           1853802.085809       5173.447722          1361.544008          0.000000            
14.065000            7.155000             1814905.460911       407.569158           1814905.460911       5064.898024          1347.184271          0.000000            
14.060000            7.160000             1796013.613650       408.556327           1796013.613650       5012.176116          1340.154325          0.000000            
14.055000            7.165000             1792440.692404       412.150079           1792440.692404       5002.205083          1338.820635          0.000000            
14.050000            7.170000             1749502.025112       414.377552           1749502.025112       4882.375166          1322.687425          0.000000            
14.045000            7.175000             1760765.293840       416.355000           1760765.293840       4913.807826          1326.938316          0.000000            
14.040000            7.180000             1648939.222701       419.044275           1648939.222701       4601.732262          1284.110284          0.000000            
14.035000            7.185000             1610350.847605       422.331720           1610350.847605       4494.042804          1268.996000          0.000000            
14.030000            7.190000             1583077.920721       427.396847           1583077.920721       4417.931625          1258.204244          0.000000            
14.025000            7.195000             1544228.921376       428.120023           1544228.921376       4309.514838          1242.670077          0.000000            
14.020000            7.200000             1626364.860465       432.658915           1626364.860465       4538.733475          1275.290108          0.000000            
14.015000            7.205000             1608611.654526       436.766672           1608611.654526       4489.189198          1268.310551          0.000000            
14.010000            7.210000             1643042.795744       438.964145           1643042.795744       4585.276969          1281.812309          0.000000            
14.005000            7.215000             1652577.121649       444.360614           1652577.121649       4611.884629          1285.526010          0.000000            
14.000000            7.220000             1665577.247594       448.217774           1665577.247594       4648.164377          1290.572450          0.000000            
13.995000            7.225000             1642205.400488       451.900220           1642205.400488       4582.940031          1281.485622          0.000000            
13.990000            7.230000             1118241.640469       327.066873           1118241.640469       3120.702426          1057.469451          0.000000            
13.985000            7.235000             1212933.893998       261.239262           1212933.893998       3384.962256          1101.332781          0.000000            
13.980000            7.240000             1234782.205414       245.776713           1234782.205414       3445.934836          1111.207544          0.000000            
13.975000            7.245000             1254427.763912       246.159294           1254427.763912       3500.760144          1120.012395          0.000000            
13.970000            7.250000             1172466.357087       247.669277           1172466.357087       3272.028579          1082.804856          0.000000            
13.965000            7.255000             1204176.519789       250.348549           1204176.519789       3360.522852          1097.349771          0.000000            
13.960000            7.260000             1132151.663356       251.310025           1132151.663356       3159.521444          1064.026157          0.000000            
13.955000            7.265000             1229564.348369       269.169078           1229564.348369       3431.373244          1108.857226          0.000000            
13.950000            7.270000             1143877.902538       297.342839           1143877.902538       3192.246127          1069.522278          0.000000            
13.945000            7.275000             1529688.268992       416.355000           1529688.268992       4268.935908          1236.805671          0.000000            
13.940000            7.280000             1479645.335542       419.044275           1479645.335542       4129.279953          1216.406731          0.000000            
13.935000            7.285000             1443529.818283       422.331720           1443529.818283       4028.491556          1201.469857          0.000000            
13.930000            7.290000             1480075.280631       427.396847           1480075.280631       4130.479811          1216.583446          0.000000            
